# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	69
2	3
4	5
6	7
8	9
10	11
12	13
14	15
16	17
18	19
20	21
24	25
26	27
28	29
30	31
34	35
38	39
42	43
44	45
46	47
48	49
50	51
54	55
60	61
62	63
64	65
66	67
68	69
80	81
82	83
84	85
86	87
88	89
90	91
92	93
94	95
96	97
100	101
102	103
106	107
108	109
110	111
112	113
116	117
118	119
120	121
126	127
128	129
130	131
136	137
138	139
144	145
146	147
150	151
152	153
158	159
162	163
164	165
166	167
168	169
170	171
174	175
176	177
178	179
182	183
184	185
186	187
192	193
194	195
196	197
