# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	54
2	3
12	13
18	19
22	23
26	27
28	29
30	31
32	33
34	35
40	41
48	49
50	51
52	53
56	57
58	59
62	63
64	65
70	71
72	73
74	75
76	77
80	81
86	87
88	89
90	91
94	95
108	109
114	115
116	117
122	123
126	127
130	131
132	133
138	139
140	141
148	149
150	151
152	153
154	155
156	157
160	161
164	165
168	169
170	171
172	173
174	175
176	177
178	179
182	183
184	185
186	187
188	189
194	195
196	197
