# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	58
0	1
4	5
10	11
14	15
16	17
18	19
28	29
36	37
44	45
52	53
54	55
56	57
58	59
64	65
66	67
68	69
70	71
72	73
76	77
80	81
82	83
84	85
86	87
88	89
90	91
92	93
94	95
100	101
106	107
108	109
110	111
116	117
120	121
122	123
124	125
126	127
128	129
130	131
132	133
134	135
136	137
140	141
144	145
150	151
152	153
154	155
156	157
162	163
166	167
168	169
172	173
178	179
180	181
184	185
190	191
192	193
196	197
198	199
