# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	71
0	1
4	5
8	9
14	15
16	17
18	19
20	21
22	23
24	25
28	29
30	31
34	35
38	39
40	41
42	43
44	45
50	51
52	53
54	55
56	57
58	59
60	61
62	63
64	65
68	69
70	71
72	73
76	77
78	79
80	81
82	83
86	87
88	89
90	91
92	93
94	95
96	97
98	99
102	103
104	105
108	109
110	111
118	119
122	123
124	125
126	127
130	131
132	133
136	137
138	139
140	141
142	143
146	147
148	149
150	151
152	153
158	159
160	161
164	165
166	167
168	169
170	171
172	173
176	177
180	181
184	185
186	187
188	189
190	191
194	195
196	197
