# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	75
0	1
2	3
4	5
6	7
12	13
14	15
16	17
18	19
20	21
24	25
30	31
32	33
34	35
36	37
38	39
40	41
42	43
44	45
46	47
48	49
50	51
52	53
54	55
56	57
58	59
60	61
62	63
64	65
66	67
68	69
70	71
74	75
78	79
80	81
82	83
84	85
88	89
92	93
94	95
98	99
104	105
106	107
108	109
110	111
112	113
114	115
116	117
120	121
126	127
128	129
132	133
136	137
138	139
140	141
142	143
144	145
146	147
148	149
152	153
158	159
164	165
166	167
170	171
172	173
174	175
176	177
180	181
182	183
184	185
186	187
188	189
190	191
192	193
194	195
196	197
