# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	55
8	9
10	11
16	17
26	27
30	31
32	33
36	37
42	43
44	45
52	53
58	59
60	61
62	63
72	73
74	75
76	77
78	79
82	83
86	87
88	89
92	93
94	95
98	99
100	101
102	103
104	105
108	109
110	111
114	115
122	123
124	125
126	127
128	129
132	133
134	135
138	139
140	141
142	143
146	147
150	151
152	153
154	155
158	159
160	161
166	167
168	169
172	173
174	175
176	177
178	179
180	181
186	187
192	193
194	195
196	197
