# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	74
0	1
2	3
4	5
10	11
12	13
14	15
16	17
18	19
20	21
22	23
24	25
26	27
28	29
30	31
34	35
36	37
40	41
42	43
48	49
50	51
52	53
54	55
56	57
60	61
62	63
64	65
66	67
70	71
72	73
74	75
78	79
80	81
82	83
86	87
88	89
90	91
94	95
96	97
98	99
100	101
102	103
104	105
106	107
108	109
114	115
116	117
120	121
122	123
124	125
126	127
128	129
132	133
138	139
140	141
144	145
146	147
148	149
150	151
154	155
156	157
158	159
162	163
164	165
166	167
168	169
180	181
182	183
184	185
186	187
188	189
190	191
194	195
196	197
198	199
