# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	70
0	1
2	3
4	5
6	7
8	9
10	11
12	13
14	15
16	17
18	19
20	21
22	23
28	29
34	35
36	37
38	39
42	43
48	49
50	51
52	53
54	55
56	57
58	59
60	61
66	67
70	71
74	75
76	77
78	79
80	81
82	83
84	85
86	87
92	93
96	97
98	99
100	101
102	103
104	105
106	107
110	111
116	117
120	121
122	123
124	125
126	127
128	129
136	137
138	139
140	141
142	143
144	145
146	147
148	149
150	151
156	157
160	161
162	163
166	167
170	171
172	173
174	175
176	177
184	185
186	187
188	189
190	191
192	193
194	195
196	197
