# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	64
2	3
6	7
10	11
12	13
16	17
18	19
20	21
22	23
30	31
32	33
34	35
38	39
40	41
44	45
46	47
48	49
50	51
52	53
54	55
56	57
60	61
62	63
64	65
68	69
72	73
74	75
82	83
84	85
86	87
90	91
92	93
94	95
96	97
104	105
106	107
108	109
112	113
114	115
122	123
126	127
128	129
132	133
138	139
140	141
144	145
146	147
148	149
150	151
156	157
158	159
162	163
164	165
166	167
168	169
174	175
176	177
180	181
182	183
184	185
186	187
190	191
192	193
194	195
198	199
