# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	62
2	3
6	7
8	9
12	13
16	17
24	25
28	29
32	33
38	39
40	41
42	43
44	45
46	47
50	51
54	55
56	57
60	61
64	65
66	67
68	69
70	71
72	73
74	75
76	77
78	79
80	81
84	85
88	89
92	93
94	95
96	97
98	99
100	101
102	103
106	107
108	109
110	111
114	115
118	119
120	121
126	127
128	129
130	131
136	137
138	139
144	145
146	147
148	149
154	155
156	157
162	163
168	169
172	173
174	175
178	179
182	183
184	185
188	189
190	191
192	193
194	195
198	199
