# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	68
0	1
2	3
4	5
6	7
10	11
14	15
16	17
18	19
22	23
26	27
28	29
30	31
32	33
36	37
40	41
42	43
44	45
48	49
50	51
52	53
54	55
56	57
58	59
62	63
64	65
66	67
70	71
72	73
76	77
78	79
80	81
88	89
90	91
100	101
104	105
106	107
108	109
110	111
114	115
116	117
118	119
124	125
126	127
128	129
130	131
132	133
136	137
140	141
142	143
146	147
148	149
150	151
156	157
158	159
162	163
164	165
166	167
168	169
170	171
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
196	197
