# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	56
0	1
2	3
12	13
14	15
16	17
18	19
20	21
22	23
24	25
28	29
32	33
34	35
38	39
44	45
46	47
48	49
50	51
52	53
54	55
56	57
58	59
60	61
62	63
64	65
66	67
76	77
78	79
80	81
84	85
86	87
88	89
90	91
100	101
106	107
112	113
114	115
116	117
126	127
128	129
130	131
132	133
134	135
136	137
146	147
154	155
156	157
158	159
160	161
164	165
172	173
174	175
176	177
182	183
186	187
192	193
196	197
