# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	75
0	1
2	3
4	5
6	7
10	11
14	15
18	19
20	21
22	23
24	25
26	27
28	29
32	33
34	35
36	37
38	39
40	41
48	49
50	51
52	53
54	55
58	59
60	61
62	63
66	67
70	71
72	73
74	75
78	79
80	81
82	83
86	87
90	91
92	93
94	95
96	97
98	99
100	101
102	103
106	107
108	109
110	111
112	113
114	115
116	117
122	123
124	125
126	127
130	131
132	133
134	135
136	137
138	139
140	141
142	143
144	145
146	147
150	151
154	155
156	157
158	159
160	161
164	165
170	171
174	175
176	177
180	181
182	183
186	187
188	189
190	191
192	193
194	195
196	197
198	199
