# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	56
2	3
6	7
14	15
20	21
26	27
28	29
30	31
34	35
36	37
38	39
44	45
46	47
50	51
52	53
60	61
64	65
68	69
72	73
74	75
76	77
78	79
82	83
84	85
88	89
92	93
94	95
98	99
104	105
108	109
110	111
112	113
118	119
120	121
122	123
124	125
128	129
130	131
132	133
136	137
140	141
144	145
146	147
148	149
150	151
152	153
154	155
156	157
158	159
160	161
162	163
170	171
178	179
182	183
184	185
186	187
188	189
