# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	63
2	3
6	7
10	11
14	15
16	17
18	19
20	21
22	23
24	25
26	27
28	29
36	37
38	39
40	41
42	43
46	47
48	49
54	55
56	57
58	59
64	65
66	67
68	69
70	71
72	73
76	77
80	81
82	83
84	85
88	89
92	93
94	95
106	107
108	109
110	111
112	113
114	115
116	117
118	119
120	121
124	125
126	127
134	135
136	137
144	145
148	149
150	151
156	157
158	159
160	161
162	163
164	165
166	167
170	171
172	173
176	177
178	179
186	187
190	191
192	193
194	195
196	197
198	199
