# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	55
8	9
20	21
26	27
28	29
30	31
32	33
34	35
36	37
38	39
42	43
44	45
46	47
52	53
54	55
58	59
60	61
66	67
70	71
72	73
76	77
78	79
88	89
90	91
94	95
96	97
98	99
100	101
102	103
106	107
112	113
114	115
118	119
120	121
124	125
132	133
134	135
138	139
140	141
142	143
146	147
148	149
152	153
154	155
160	161
164	165
168	169
174	175
176	177
178	179
180	181
186	187
188	189
190	191
192	193
198	199
