# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	69
2	3
4	5
6	7
8	9
10	11
14	15
20	21
22	23
24	25
26	27
28	29
30	31
36	37
38	39
40	41
42	43
48	49
52	53
54	55
56	57
60	61
64	65
66	67
68	69
70	71
72	73
74	75
76	77
78	79
80	81
82	83
86	87
90	91
92	93
94	95
100	101
104	105
106	107
110	111
114	115
116	117
120	121
122	123
126	127
128	129
130	131
132	133
138	139
142	143
144	145
148	149
152	153
154	155
156	157
160	161
162	163
164	165
166	167
168	169
170	171
172	173
174	175
176	177
178	179
180	181
182	183
188	189
190	191
196	197
