# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	75
2	3
6	7
8	9
10	11
12	13
14	15
22	23
24	25
28	29
32	33
36	37
38	39
40	41
42	43
44	45
46	47
48	49
54	55
56	57
58	59
60	61
62	63
66	67
70	71
72	73
74	75
78	79
80	81
82	83
84	85
86	87
88	89
92	93
96	97
100	101
106	107
108	109
112	113
114	115
116	117
118	119
122	123
124	125
126	127
128	129
130	131
132	133
134	135
138	139
140	141
144	145
148	149
150	151
152	153
154	155
156	157
158	159
162	163
164	165
166	167
168	169
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
192	193
194	195
196	197
198	199
