# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	69
6	7
8	9
10	11
16	17
22	23
24	25
26	27
28	29
30	31
32	33
34	35
36	37
38	39
40	41
44	45
46	47
48	49
50	51
52	53
54	55
58	59
60	61
62	63
64	65
66	67
70	71
76	77
80	81
82	83
84	85
86	87
96	97
98	99
106	107
112	113
114	115
118	119
120	121
122	123
124	125
126	127
128	129
130	131
132	133
138	139
140	141
142	143
144	145
146	147
148	149
152	153
154	155
156	157
160	161
162	163
166	167
168	169
170	171
172	173
176	177
178	179
180	181
182	183
184	185
186	187
190	191
192	193
194	195
196	197
