# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	66
2	3
4	5
6	7
8	9
10	11
16	17
18	19
20	21
24	25
26	27
30	31
32	33
38	39
40	41
42	43
44	45
48	49
54	55
56	57
58	59
60	61
62	63
64	65
66	67
70	71
72	73
78	79
80	81
90	91
92	93
94	95
100	101
102	103
108	109
110	111
114	115
116	117
120	121
122	123
124	125
126	127
128	129
130	131
132	133
134	135
136	137
142	143
144	145
150	151
152	153
154	155
156	157
158	159
160	161
162	163
164	165
168	169
170	171
172	173
174	175
176	177
180	181
182	183
190	191
192	193
198	199
