# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	56
4	5
6	7
8	9
10	11
12	13
14	15
16	17
18	19
20	21
22	23
24	25
26	27
30	31
34	35
38	39
40	41
52	53
54	55
56	57
58	59
64	65
66	67
68	69
70	71
78	79
82	83
84	85
86	87
88	89
90	91
96	97
100	101
104	105
106	107
108	109
110	111
112	113
114	115
126	127
128	129
130	131
132	133
134	135
144	145
150	151
152	153
158	159
160	161
162	163
164	165
170	171
172	173
174	175
184	185
196	197
198	199
