# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	58
0	1
2	3
8	9
10	11
12	13
14	15
18	19
24	25
28	29
30	31
32	33
34	35
38	39
42	43
44	45
46	47
48	49
50	51
56	57
58	59
60	61
62	63
64	65
74	75
76	77
78	79
84	85
86	87
88	89
92	93
96	97
100	101
102	103
112	113
116	117
118	119
120	121
122	123
128	129
130	131
132	133
134	135
138	139
140	141
142	143
148	149
152	153
156	157
162	163
164	165
166	167
168	169
178	179
180	181
184	185
190	191
194	195
198	199
