# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	74
0	1
2	3
4	5
6	7
8	9
10	11
12	13
14	15
16	17
18	19
20	21
22	23
24	25
28	29
30	31
32	33
34	35
36	37
38	39
46	47
48	49
50	51
52	53
56	57
58	59
64	65
66	67
76	77
78	79
80	81
82	83
84	85
86	87
88	89
92	93
94	95
98	99
100	101
102	103
104	105
106	107
108	109
112	113
116	117
118	119
120	121
122	123
126	127
128	129
130	131
132	133
134	135
136	137
138	139
142	143
146	147
148	149
152	153
154	155
156	157
158	159
162	163
164	165
172	173
174	175
176	177
178	179
180	181
184	185
186	187
188	189
190	191
192	193
198	199
