# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	80
0	1
2	3
6	7
8	9
10	11
14	15
16	17
18	19
20	21
24	25
26	27
28	29
30	31
34	35
36	37
38	39
40	41
42	43
44	45
46	47
48	49
50	51
52	53
54	55
56	57
58	59
60	61
62	63
68	69
70	71
72	73
74	75
80	81
82	83
86	87
88	89
90	91
92	93
94	95
96	97
98	99
100	101
104	105
106	107
108	109
110	111
114	115
116	117
120	121
122	123
126	127
128	129
130	131
132	133
134	135
136	137
138	139
140	141
144	145
146	147
148	149
152	153
156	157
158	159
160	161
162	163
164	165
166	167
168	169
170	171
176	177
178	179
180	181
182	183
186	187
188	189
192	193
194	195
196	197
198	199
