# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	63
0	1
2	3
6	7
8	9
10	11
12	13
14	15
18	19
22	23
30	31
34	35
36	37
38	39
40	41
42	43
50	51
52	53
54	55
56	57
58	59
60	61
62	63
66	67
70	71
74	75
76	77
78	79
82	83
84	85
86	87
88	89
90	91
92	93
94	95
96	97
98	99
102	103
110	111
114	115
118	119
122	123
124	125
126	127
134	135
136	137
138	139
142	143
146	147
150	151
154	155
158	159
160	161
164	165
166	167
168	169
172	173
176	177
182	183
184	185
186	187
188	189
190	191
198	199
