# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	79
0	1
2	3
4	5
6	7
8	9
10	11
12	13
16	17
18	19
20	21
22	23
24	25
26	27
28	29
30	31
36	37
42	43
44	45
46	47
48	49
50	51
54	55
56	57
58	59
64	65
66	67
68	69
70	71
74	75
80	81
82	83
84	85
86	87
88	89
92	93
94	95
96	97
98	99
100	101
102	103
104	105
108	109
114	115
116	117
118	119
120	121
124	125
126	127
128	129
130	131
132	133
134	135
136	137
138	139
140	141
142	143
144	145
146	147
152	153
154	155
156	157
160	161
162	163
164	165
168	169
170	171
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
192	193
194	195
196	197
198	199
