# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	79
0	1
2	3
4	5
6	7
10	11
12	13
14	15
16	17
24	25
28	29
30	31
32	33
34	35
36	37
38	39
40	41
42	43
46	47
50	51
52	53
54	55
56	57
60	61
62	63
64	65
66	67
70	71
72	73
78	79
80	81
82	83
84	85
86	87
88	89
90	91
92	93
94	95
98	99
102	103
106	107
108	109
114	115
118	119
120	121
122	123
126	127
128	129
130	131
134	135
136	137
138	139
140	141
142	143
144	145
146	147
148	149
150	151
152	153
154	155
156	157
158	159
160	161
162	163
164	165
166	167
168	169
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
192	193
194	195
196	197
