# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	75
2	3
4	5
6	7
10	11
18	19
20	21
24	25
26	27
30	31
36	37
38	39
40	41
48	49
50	51
52	53
54	55
58	59
60	61
62	63
64	65
66	67
68	69
72	73
74	75
76	77
78	79
80	81
82	83
86	87
88	89
90	91
92	93
94	95
98	99
100	101
102	103
104	105
106	107
108	109
110	111
116	117
118	119
120	121
124	125
128	129
130	131
132	133
134	135
136	137
140	141
142	143
144	145
146	147
148	149
152	153
154	155
156	157
158	159
160	161
162	163
164	165
166	167
168	169
170	171
174	175
176	177
178	179
180	181
184	185
186	187
188	189
190	191
192	193
194	195
196	197
