# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	70
0	1
2	3
4	5
6	7
8	9
10	11
14	15
16	17
20	21
26	27
28	29
30	31
32	33
34	35
36	37
40	41
42	43
44	45
50	51
54	55
56	57
58	59
60	61
62	63
64	65
66	67
68	69
70	71
74	75
76	77
78	79
80	81
84	85
86	87
94	95
96	97
98	99
102	103
104	105
106	107
110	111
112	113
116	117
118	119
120	121
122	123
128	129
130	131
132	133
136	137
140	141
142	143
144	145
146	147
148	149
150	151
152	153
154	155
156	157
158	159
160	161
164	165
170	171
176	177
178	179
186	187
188	189
190	191
192	193
198	199
