# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	66
0	1
2	3
4	5
6	7
8	9
10	11
14	15
18	19
20	21
24	25
28	29
30	31
40	41
42	43
46	47
48	49
50	51
52	53
54	55
56	57
62	63
64	65
66	67
68	69
76	77
80	81
82	83
84	85
88	89
90	91
94	95
98	99
100	101
102	103
106	107
110	111
112	113
118	119
120	121
122	123
126	127
128	129
136	137
140	141
142	143
144	145
146	147
148	149
150	151
152	153
154	155
160	161
166	167
168	169
170	171
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
198	199
