# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	80
0	1
2	3
4	5
6	7
10	11
12	13
14	15
16	17
22	23
24	25
26	27
30	31
32	33
34	35
36	37
40	41
42	43
46	47
48	49
52	53
54	55
56	57
58	59
60	61
64	65
66	67
68	69
70	71
72	73
76	77
78	79
80	81
82	83
86	87
88	89
90	91
92	93
94	95
96	97
98	99
100	101
102	103
104	105
108	109
110	111
112	113
114	115
116	117
118	119
120	121
124	125
126	127
128	129
130	131
134	135
136	137
138	139
142	143
148	149
150	151
152	153
156	157
158	159
160	161
162	163
166	167
168	169
170	171
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
192	193
194	195
