# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	67
0	1
2	3
4	5
6	7
10	11
12	13
14	15
18	19
20	21
24	25
26	27
28	29
30	31
34	35
40	41
44	45
52	53
54	55
58	59
60	61
64	65
68	69
70	71
72	73
74	75
76	77
78	79
80	81
84	85
86	87
92	93
94	95
100	101
106	107
108	109
112	113
114	115
116	117
118	119
120	121
122	123
124	125
130	131
132	133
134	135
136	137
140	141
142	143
146	147
148	149
150	151
158	159
160	161
162	163
166	167
168	169
170	171
172	173
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
196	197
