# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	67
0	1
4	5
6	7
8	9
10	11
12	13
14	15
24	25
28	29
30	31
38	39
40	41
42	43
44	45
46	47
50	51
54	55
58	59
60	61
62	63
66	67
68	69
70	71
72	73
74	75
76	77
78	79
80	81
82	83
84	85
96	97
98	99
100	101
106	107
108	109
110	111
114	115
116	117
118	119
120	121
124	125
128	129
130	131
132	133
134	135
138	139
140	141
142	143
144	145
146	147
150	151
152	153
154	155
156	157
158	159
162	163
168	169
172	173
176	177
180	181
182	183
184	185
186	187
190	191
192	193
194	195
196	197
