# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	66
0	1
2	3
4	5
6	7
8	9
12	13
14	15
16	17
18	19
24	25
30	31
34	35
36	37
38	39
40	41
42	43
44	45
46	47
48	49
50	51
52	53
54	55
56	57
58	59
60	61
62	63
64	65
66	67
74	75
80	81
82	83
84	85
88	89
92	93
94	95
96	97
98	99
100	101
102	103
106	107
108	109
110	111
112	113
116	117
122	123
124	125
126	127
128	129
134	135
148	149
150	151
152	153
154	155
156	157
158	159
166	167
174	175
176	177
178	179
180	181
182	183
184	185
186	187
192	193
196	197
198	199
