# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	63
0	1
2	3
8	9
10	11
12	13
14	15
18	19
22	23
24	25
28	29
30	31
34	35
36	37
38	39
42	43
48	49
50	51
54	55
56	57
60	61
62	63
64	65
66	67
72	73
74	75
76	77
80	81
82	83
84	85
86	87
92	93
100	101
102	103
106	107
108	109
110	111
112	113
116	117
118	119
120	121
122	123
124	125
126	127
132	133
134	135
142	143
144	145
148	149
152	153
160	161
166	167
168	169
170	171
172	173
174	175
176	177
180	181
182	183
186	187
190	191
192	193
194	195
196	197
