# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	61
4	5
10	11
12	13
16	17
18	19
22	23
28	29
30	31
32	33
34	35
36	37
40	41
44	45
48	49
50	51
52	53
54	55
56	57
58	59
62	63
64	65
66	67
68	69
70	71
72	73
74	75
78	79
80	81
82	83
84	85
94	95
100	101
102	103
108	109
110	111
114	115
116	117
118	119
120	121
124	125
126	127
130	131
132	133
136	137
140	141
142	143
144	145
152	153
154	155
160	161
162	163
164	165
166	167
168	169
174	175
182	183
184	185
186	187
188	189
194	195
196	197
