# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	53
0	1
4	5
8	9
18	19
22	23
28	29
30	31
34	35
36	37
46	47
48	49
50	51
54	55
56	57
66	67
68	69
72	73
78	79
84	85
86	87
88	89
92	93
94	95
100	101
106	107
108	109
110	111
114	115
116	117
122	123
124	125
128	129
132	133
134	135
136	137
142	143
152	153
156	157
158	159
160	161
164	165
166	167
168	169
170	171
172	173
174	175
178	179
180	181
182	183
186	187
188	189
194	195
196	197
