# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	60
2	3
6	7
10	11
12	13
14	15
20	21
26	27
28	29
32	33
34	35
36	37
38	39
40	41
42	43
44	45
46	47
48	49
52	53
54	55
56	57
58	59
64	65
70	71
72	73
76	77
78	79
80	81
86	87
88	89
90	91
92	93
96	97
98	99
100	101
106	107
110	111
114	115
118	119
120	121
122	123
124	125
130	131
132	133
134	135
136	137
138	139
140	141
144	145
146	147
150	151
162	163
164	165
168	169
170	171
172	173
180	181
182	183
184	185
188	189
190	191
