# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	67
0	1
2	3
4	5
8	9
12	13
22	23
24	25
26	27
30	31
32	33
34	35
36	37
40	41
44	45
50	51
52	53
60	61
62	63
64	65
70	71
72	73
76	77
78	79
80	81
82	83
86	87
88	89
92	93
94	95
96	97
98	99
104	105
106	107
108	109
110	111
112	113
118	119
122	123
124	125
130	131
132	133
138	139
142	143
144	145
146	147
148	149
152	153
154	155
160	161
162	163
164	165
166	167
168	169
170	171
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
190	191
194	195
196	197
198	199
