# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	59
0	1
2	3
6	7
8	9
10	11
20	21
26	27
28	29
30	31
32	33
36	37
38	39
40	41
42	43
44	45
48	49
52	53
58	59
66	67
70	71
72	73
74	75
76	77
78	79
80	81
82	83
84	85
88	89
96	97
100	101
102	103
106	107
108	109
110	111
114	115
118	119
124	125
126	127
128	129
130	131
132	133
134	135
136	137
138	139
148	149
150	151
152	153
154	155
156	157
158	159
166	167
170	171
172	173
174	175
178	179
182	183
186	187
188	189
194	195
