# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	58
0	1
2	3
4	5
6	7
8	9
10	11
12	13
14	15
18	19
32	33
34	35
36	37
38	39
40	41
46	47
48	49
54	55
56	57
62	63
64	65
66	67
68	69
74	75
76	77
78	79
80	81
82	83
84	85
86	87
90	91
96	97
102	103
104	105
106	107
108	109
112	113
116	117
120	121
124	125
128	129
132	133
140	141
144	145
146	147
148	149
152	153
154	155
156	157
162	163
166	167
168	169
170	171
172	173
176	177
178	179
186	187
194	195
198	199
