scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency	lower_allele_frequency	upper_allele_frequency	origin_age_generations	origin_age_years	source_minimum_frequency	pulse_proportion	pulse_generations_ago	han_split_generations_ago	requested_han_split_generations_ago	realized_han_split_generations_ago	slim_scaled_origin_generations_ago	slim_scaled_source_check_generations_ago	slim_scaled_pulse_generations_ago	slim_scaled_han_split_generations_ago	slim_demographic_han_split_generations_ago	slim_selection_transition_generations_ago	slim_demographic_time_rule	deterministic_required_pulse_frequency	deterministic_feasible_from_fixed_archaic_source	feasibility_interpretation	eligible_for_simulation	eligibility_reason	present_ne	theta_for_gamma_smc
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af10	0.01		0.1	0.1	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	1.2947073511169544e-06	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af20	0.01		0.2	0.2	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	2.9130868255194845e-06	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af30	0.01		0.3	0.3	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	4.993852738371527e-06	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af40	0.01		0.4	0.4	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	7.768193819013511e-06	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af50	0.01		0.5	0.5	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	1.165224547006964e-05	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af60	0.01		0.6	0.6	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	1.7478266374579354e-05	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af70	0.01		0.7	0.7	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	2.7188150359493358e-05	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af80	0.01		0.8	0.8	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	4.6607352639337574e-05	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p010_af90	0.01		0.9	0.9	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.00010486043435445726	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af10	0.005		0.1	0.1	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.00037914046947162594	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af20	0.005		0.2	0.2	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0008526619579923407	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af30	0.005		0.3	0.3	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0014608165117960023	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af40	0.005		0.4	0.4	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0022705385515677805	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af50	0.005		0.5	0.5	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0034019457029172643	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af60	0.005		0.6	0.6	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.00509425336769899	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
