# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	80
0	1
2	3
4	5
6	7
8	9
10	11
12	13
14	15
18	19
20	21
22	23
24	25
26	27
28	29
30	31
34	35
36	37
38	39
40	41
42	43
44	45
46	47
48	49
50	51
52	53
54	55
56	57
60	61
62	63
64	65
66	67
68	69
72	73
74	75
76	77
80	81
82	83
84	85
88	89
90	91
92	93
94	95
96	97
98	99
104	105
106	107
108	109
110	111
112	113
114	115
118	119
122	123
124	125
126	127
128	129
130	131
134	135
136	137
142	143
144	145
146	147
148	149
152	153
154	155
156	157
158	159
160	161
164	165
168	169
172	173
176	177
178	179
180	181
182	183
184	185
188	189
190	191
194	195
196	197
198	199
