# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	67
0	1
2	3
4	5
6	7
8	9
10	11
16	17
18	19
20	21
22	23
24	25
28	29
30	31
34	35
36	37
40	41
44	45
46	47
48	49
58	59
60	61
64	65
68	69
70	71
72	73
74	75
76	77
78	79
88	89
90	91
92	93
96	97
98	99
106	107
108	109
110	111
112	113
118	119
122	123
124	125
126	127
128	129
130	131
132	133
134	135
136	137
142	143
144	145
148	149
150	151
152	153
154	155
156	157
158	159
160	161
166	167
168	169
170	171
174	175
180	181
184	185
188	189
190	191
192	193
194	195
196	197
198	199
