position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations
0.0	0	hom_ref	1847	11933.200830461785	143.58286372584868	11654.895617136779	12218.151645284071
0.0	2	hom_alt	3	15820.367320522782	2265.258308468252	8543.900859000334	29293.88183298153
50000.0	0	hom_ref	1847	10447.946304945975	193.40938057579646	10075.425483070369	10834.240417385248
50000.0	2	hom_alt	3	14880.733877640576	6120.167553356687	2535.6924252353847	87327.7210332812
100000.0	0	hom_ref	1847	19758.08980506193	775.3444311035715	18294.489610154054	21338.78129774208
100000.0	2	hom_alt	3	43141.076885982	37752.88615352939	999.211567804794	1862621.0652975603
150000.0	0	hom_ref	1847	13134.208481898317	183.7479534348841	12778.731900628709	13499.573649986534
150000.0	2	hom_alt	3	17464.4474189254	6296.948687963645	3701.7688409489665	82394.91355441311
200000.0	0	hom_ref	1847	22900.77641680288	382.8347160909381	22162.117034796007	23664.055183400593
200000.0	2	hom_alt	3	28077.259407666657	10419.54586249886	5687.291189004188	138613.00039807498
250000.0	0	hom_ref	1847	7436.599838586711	118.93411516094946	7206.960624473374	7673.556168944518
250000.0	2	hom_alt	3	6616.457383999846	1756.8888044280486	2110.791791912583	20739.85150123186
300000.0	0	hom_ref	1847	9480.288249971729	129.65234659724803	9229.387474940047	9738.009759215993
300000.0	2	hom_alt	3	11235.815942797051	3883.0146107305272	2539.9430866356047	49703.30263093963
350000.0	0	hom_ref	1847	12806.565173512767	155.6555571378265	12504.895571710966	13115.512288999458
350000.0	2	hom_alt	3	15906.489290650976	3777.1835255338037	5725.967379976899	44187.5380635883
400000.0	0	hom_ref	1847	17211.08536061579	240.72860777833225	16745.373238669396	17689.74958446141
400000.0	2	hom_alt	3	9783.164139300568	4067.075957258625	1635.5118792366648	58520.08890401156
450000.0	0	hom_ref	1847	27178.906625477353	405.32256024146784	26395.480611928615	27985.58496497266
450000.0	2	hom_alt	3	20152.874486400124	11700.245747693381	1657.5428945952542	245024.33776458597
500000.0	0	hom_ref	1847	30267.833287930967	684.0209213777304	28955.59280750385	31639.54328396839
500000.0	2	hom_alt	3	30297.237396652836	19253.919862266168	1967.4083193129172	466564.3551765133
550000.0	0	hom_ref	1847	30425.919628329757	493.7323600983836	29472.83394134603	31409.825979812224
550000.0	2	hom_alt	3	25737.931641085204	14061.54410251178	2452.907825764826	270063.60296258715
600000.0	0	hom_ref	1847	17805.206134568383	216.50372437837882	17385.61135319419	18234.92766828851
600000.0	2	hom_alt	3	11194.153961473554	7241.741475360288	692.0563581593854	181067.7431624933
650000.0	0	hom_ref	1847	16406.806022699722	311.01144549683954	15808.034369788294	17028.257756128656
