original_path	snapshot_path	snapshot_mode	sha256	size_bytes	mtime_ns_at_snapshot
phase_invocations/20260812T113025.809022Z_f97e8296c1e749698a56f6190b317ac9_started.json	phase_invocations/20260812T113025.809022Z_f97e8296c1e749698a56f6190b317ac9_started.json	copied	bc75fb416d5913b8132f21081473efab6aa857c76a10177efa65fb9a9c6b486a	3067	1786534225811029500
phase_invocations/20260812T113025.811029Z_f97e8296c1e749698a56f6190b317ac9_completed.json	phase_invocations/20260812T113025.811029Z_f97e8296c1e749698a56f6190b317ac9_completed.json	copied	0108e2a1b3496d66636a246b94cae5c96d138302f29ff97a6079d061a7c5c219	3114	1786534225813029100
phase_invocations/20260812T113036.218155Z_26e2d4d90d264891b13e1eeb17831278_started.json	phase_invocations/20260812T113036.218155Z_26e2d4d90d264891b13e1eeb17831278_started.json	copied	adea0b075e6844151581064de17c794c4e97ff9e0290ce2e824b704ee5c2bd63	3075	1786534236219155000
phase_invocations/20260812T113438.350659Z_e52ca7a6a1844e24a67ab9fcac5f0323_started.json	phase_invocations/20260812T113438.350659Z_e52ca7a6a1844e24a67ab9fcac5f0323_started.json	copied	d03a27b9fedbb6a86be1e4c7a988f180b4eeb0d33168fe091e933fed26488bdb	2980	1786534478258341500
phase_invocations/20260812T114942.238341Z_e52ca7a6a1844e24a67ab9fcac5f0323_completed.json	phase_invocations/20260812T114942.238341Z_e52ca7a6a1844e24a67ab9fcac5f0323_completed.json	copied	24b8983449c1452056fcdeeaa3c8be91411326a0aa01cf5c2917d3394d29d86b	3266	1786535382272000400
phase_invocations/20260812T115057.982185Z_4604896d3a704d9f905a2ae88262d950_started.json	phase_invocations/20260812T115057.982185Z_4604896d3a704d9f905a2ae88262d950_started.json	copied	f3642f863dddaca2bac767f664ea0945fc9c7976fbac9231860af28d6112acb7	2945	1786535458004531300
phase_invocations/20260812T122210.221736Z_9e3a0374fc1c4bca9fc5b5846e19cccd_started.json	phase_invocations/20260812T122210.221736Z_9e3a0374fc1c4bca9fc5b5846e19cccd_started.json	copied	23826157ed57bd7a9b536ccfc36ac294399bd15d310565a33a4ffa1a124ec38f	3938	1786537330238352400
phase_invocations/20260812T203057.814176Z_e641b07b9ba6412c9e4f436e79aa6c43_started.json	phase_invocations/20260812T203057.814176Z_e641b07b9ba6412c9e4f436e79aa6c43_started.json	copied	2c7d8c57b878f2fbeed536776ce78a9b3a90337e25e06476e6e0bb785345266d	3323	1786566657814176800
phase_invocations/20260812T203058.621377Z_26e2d4d90d264891b13e1eeb17831278_failed.json	phase_invocations/20260812T203058.621377Z_26e2d4d90d264891b13e1eeb17831278_failed.json	copied	33ab978c162293f8f59268e96f9d106dd837aba50047f77d80848c27cbb567a0	3768	1786566658623452300
phase_invocations/20260812T203058.623452Z_4604896d3a704d9f905a2ae88262d950_failed.json	phase_invocations/20260812T203058.623452Z_4604896d3a704d9f905a2ae88262d950_failed.json	copied	27c8589ac9d700710e151e52d45799149d2ac3e0cb98e2fce9d45412da5da00a	3701	1786566658624458400
phase_invocations/20260812T203058.625459Z_9e3a0374fc1c4bca9fc5b5846e19cccd_failed.json	phase_invocations/20260812T203058.625459Z_9e3a0374fc1c4bca9fc5b5846e19cccd_failed.json	copied	d628c966ac4b16d378aa27b66fe6f06e6b219b9076e1a1c64329db0f08ca26ac	4723	1786566658625459200
phase_invocations/20260812T203058.626499Z_e641b07b9ba6412c9e4f436e79aa6c43_completed.json	phase_invocations/20260812T203058.626499Z_e641b07b9ba6412c9e4f436e79aa6c43_completed.json	copied	74edad1ab3bee5c43772e819921dcba4c2109ac31a46da9b22c3ac4405703c97	6469	1786566658628503900
phase_invocations/20260812T203233.796103Z_f6175aaf4cca41eaa4cd44fdc7e7bd25_started.json	phase_invocations/20260812T203233.796103Z_f6175aaf4cca41eaa4cd44fdc7e7bd25_started.json	copied	7368e65da6dd9f588d9f88e28f1605ee70a7850bcfbac6c9f13f9aa1209ec563	3314	1786566753796103800
phase_invocations/20260812T203958.936134Z_f6175aaf4cca41eaa4cd44fdc7e7bd25_completed.json	phase_invocations/20260812T203958.936134Z_f6175aaf4cca41eaa4cd44fdc7e7bd25_completed.json	copied	8259e0477d9b4224cd2803a5e4b4f41915d1a23c9a5c5f605768b33ce4929544	3785	1786567198937134700
phase_invocations/20260812T204040.877659Z_113d027661c94270bb2fa5cb1142ef40_started.json	phase_invocations/20260812T204040.877659Z_113d027661c94270bb2fa5cb1142ef40_started.json	copied	500946140137ecb3da8d97dff9564c08543009b8e21e74d175d4d4400033a33a	3074	1786567240878659700
phase_invocations/20260812T211446.823884Z_113d027661c94270bb2fa5cb1142ef40_completed.json	phase_invocations/20260812T211446.823884Z_113d027661c94270bb2fa5cb1142ef40_completed.json	copied	e749b17d4ec59e7bba1f9d9850dbb2a6d176a66eba9c6404ade3f401e411ae41	3545	1786569286823884400
phase_invocations/20260812T211552.810166Z_f6599392177e44de8657609014d1c85d_started.json	phase_invocations/20260812T211552.810166Z_f6599392177e44de8657609014d1c85d_started.json	copied	9ae6bcaf3bffd63003cbff01dd05a1cc05cd4a40a6165eded99508fceaccec7e	3075	1786569352811674500
phase_invocations/20260812T214936.412068Z_f6599392177e44de8657609014d1c85d_completed.json	phase_invocations/20260812T214936.412068Z_f6599392177e44de8657609014d1c85d_completed.json	copied	10eee85d823f40c160fb1c9a1c47033bd633bec3a2f6cfecd58042027839713d	3546	1786571376412573100
phase_invocations/20260812T215031.444783Z_3a2f79ffaac148288ee12eff8b0f8c60_started.json	phase_invocations/20260812T215031.444783Z_3a2f79ffaac148288ee12eff8b0f8c60_started.json	copied	0be047b70ae02330c0a32c3cd39ccb923b4fff111679e0463efc6a41022669ae	3075	1786571431447015600
