# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	59
0	1
2	3
8	9
12	13
14	15
16	17
20	21
24	25
32	33
34	35
38	39
42	43
46	47
48	49
50	51
52	53
54	55
58	59
60	61
62	63
64	65
66	67
68	69
72	73
74	75
76	77
82	83
84	85
88	89
90	91
92	93
96	97
98	99
100	101
102	103
106	107
112	113
114	115
118	119
120	121
126	127
130	131
132	133
136	137
140	141
150	151
152	153
154	155
156	157
158	159
162	163
164	165
172	173
176	177
180	181
184	185
190	191
196	197
198	199
