# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	62
0	1
8	9
10	11
12	13
14	15
16	17
20	21
24	25
28	29
30	31
32	33
34	35
36	37
38	39
42	43
46	47
50	51
52	53
56	57
58	59
60	61
64	65
66	67
70	71
72	73
78	79
80	81
82	83
84	85
86	87
90	91
92	93
96	97
102	103
104	105
108	109
110	111
114	115
116	117
120	121
122	123
126	127
128	129
130	131
132	133
136	137
138	139
140	141
146	147
148	149
150	151
154	155
156	157
162	163
164	165
170	171
178	179
180	181
182	183
186	187
190	191
196	197
