# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	68
2	3
4	5
6	7
8	9
12	13
14	15
16	17
20	21
22	23
24	25
26	27
30	31
34	35
36	37
38	39
42	43
46	47
48	49
56	57
58	59
60	61
62	63
64	65
66	67
74	75
76	77
78	79
82	83
86	87
92	93
94	95
96	97
98	99
100	101
102	103
104	105
106	107
108	109
110	111
112	113
114	115
116	117
118	119
122	123
126	127
128	129
136	137
138	139
140	141
142	143
144	145
146	147
152	153
154	155
160	161
162	163
164	165
174	175
176	177
178	179
180	181
182	183
184	185
188	189
190	191
192	193
196	197
198	199
