# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	75
0	1
4	5
8	9
12	13
14	15
16	17
18	19
20	21
22	23
24	25
28	29
30	31
32	33
38	39
40	41
42	43
44	45
46	47
48	49
50	51
52	53
54	55
58	59
60	61
64	65
66	67
68	69
72	73
76	77
78	79
80	81
82	83
84	85
86	87
88	89
90	91
96	97
98	99
100	101
108	109
112	113
114	115
116	117
122	123
126	127
128	129
134	135
136	137
138	139
140	141
142	143
146	147
148	149
150	151
152	153
154	155
156	157
158	159
162	163
164	165
168	169
170	171
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
192	193
194	195
196	197
198	199
