attempt_zero_based	seed	status	timeout_seconds	candidate_pool_alt_count	candidate_pool_af	sample_alt_count	sample_af	n_hom_ref	n_heterozygous	n_hom_alt	elapsed_seconds	accepted	rejection_reason	error
0	1096564453	complete	300.0	0.0	0.0						35.178606226000056	False	focal_mutation_absent_at_present	
1	1601280737	complete	300.0	0.0	0.0						43.087267699999984	False	focal_mutation_absent_at_present	
2	1375382157	complete	300.0	0.0	0.0						37.03246282299983	False	focal_mutation_absent_at_present	
3	755839493	complete	300.0	0.0	0.0						34.703390849000016	False	focal_mutation_absent_at_present	
4	440204444	complete	300.0	0.0	0.0						36.26177882100001	False	focal_mutation_absent_at_present	
5	1573031805	complete	300.0	0.0	0.0						36.12072863100002	False	focal_mutation_absent_at_present	
6	1054088420	complete	300.0	0.0	0.0						34.698062803000084	False	focal_mutation_absent_at_present	
7	2027090349	complete	300.0	0.0	0.0						36.01511673899995	False	focal_mutation_absent_at_present	
8	1178092601	complete	300.0	0.0	0.0						33.33155687499993	False	focal_mutation_absent_at_present	
9	1701467107	complete	300.0	0.0	0.0						33.41537393800013	False	focal_mutation_absent_at_present	
10	738670674	complete	300.0	0.0	0.0						35.6968654169998	False	focal_mutation_absent_at_present	
11	314230758	complete	300.0	0.0	0.0						35.42035400300006	False	focal_mutation_absent_at_present	
12	914250865	complete	300.0	0.0	0.0						33.77769766600022	False	focal_mutation_absent_at_present	
13	1288630642	complete	300.0	0.0	0.0						37.39934646999996	False	focal_mutation_absent_at_present	
14	587998146	complete	300.0	0.0	0.0						35.06042746899993	False	focal_mutation_absent_at_present	
15	1604246336	complete	300.0	0.0	0.0						36.49419473900002	False	focal_mutation_absent_at_present	
16	1419065611	complete	300.0	0.0	0.0						36.14004306400011	False	focal_mutation_absent_at_present	
17	1390404553	complete	300.0	0.0	0.0						33.87440597900013	False	focal_mutation_absent_at_present	
18	1360420071	complete	300.0	0.0	0.0						33.72349870400012	False	focal_mutation_absent_at_present	
19	1652443281	complete	300.0	0.0	0.0						39.41291560900004	False	focal_mutation_absent_at_present	
20	1298170138	complete	300.0	0.0	0.0						36.80193616499992	False	focal_mutation_absent_at_present	
21	157918722	complete	300.0	0.0	0.0						36.85813706999989	False	focal_mutation_absent_at_present	
22	996614046	complete	300.0	0.0	0.0						40.11752918399998	False	focal_mutation_absent_at_present	
23	857555658	complete	300.0	0.0	0.0						35.836706567999954	False	focal_mutation_absent_at_present	
24	1158476892	complete	300.0	0.0	0.0						36.016481715000054	False	focal_mutation_absent_at_present	
25	354560414	complete	300.0	973.0	0.973						36.524751068000114	False		
26	761074806	complete	300.0	0.0	0.0						31.837378418999837	False	focal_mutation_absent_at_present	
27	790393453	complete	300.0	0.0	0.0						29.63634808200004	False	focal_mutation_absent_at_present	
28	1721731549	complete	300.0	0.0	0.0						29.20703150700001	False	focal_mutation_absent_at_present	
29	318486299	complete	300.0	0.0	0.0						27.04717883100011	False	focal_mutation_absent_at_present	
30	796972379	complete	300.0	0.0	0.0						26.311198505999982	False	focal_mutation_absent_at_present	
31	1390392299	complete	300.0	0.0	0.0						25.63219917600009	False	focal_mutation_absent_at_present	
