# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	67
0	1
2	3
4	5
8	9
10	11
16	17
18	19
22	23
24	25
26	27
28	29
32	33
34	35
38	39
40	41
46	47
48	49
50	51
52	53
56	57
58	59
60	61
62	63
64	65
66	67
68	69
70	71
74	75
78	79
82	83
86	87
90	91
92	93
94	95
96	97
102	103
104	105
106	107
114	115
116	117
118	119
120	121
122	123
126	127
130	131
134	135
138	139
140	141
142	143
144	145
146	147
152	153
154	155
156	157
158	159
160	161
168	169
172	173
174	175
176	177
178	179
180	181
184	185
190	191
192	193
194	195
196	197
