# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	71
0	1
2	3
4	5
8	9
10	11
12	13
14	15
18	19
20	21
22	23
24	25
26	27
28	29
32	33
42	43
48	49
50	51
52	53
56	57
58	59
60	61
62	63
64	65
66	67
68	69
70	71
72	73
74	75
76	77
78	79
80	81
82	83
84	85
86	87
88	89
90	91
94	95
98	99
102	103
104	105
112	113
114	115
118	119
120	121
122	123
124	125
128	129
130	131
134	135
138	139
142	143
144	145
148	149
150	151
154	155
156	157
162	163
164	165
166	167
170	171
172	173
174	175
176	177
178	179
180	181
184	185
188	189
190	191
194	195
196	197
198	199
