# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	59
0	1
4	5
10	11
18	19
20	21
22	23
24	25
30	31
40	41
42	43
44	45
48	49
50	51
54	55
56	57
58	59
60	61
66	67
68	69
74	75
76	77
78	79
80	81
82	83
84	85
90	91
92	93
96	97
100	101
106	107
108	109
116	117
118	119
120	121
128	129
130	131
132	133
136	137
138	139
142	143
144	145
146	147
148	149
150	151
154	155
156	157
160	161
162	163
166	167
174	175
176	177
180	181
182	183
184	185
186	187
190	191
192	193
194	195
196	197
