# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	56
0	1
4	5
18	19
20	21
26	27
28	29
30	31
32	33
38	39
40	41
42	43
44	45
46	47
50	51
54	55
56	57
58	59
60	61
62	63
64	65
72	73
74	75
84	85
86	87
88	89
90	91
96	97
98	99
100	101
102	103
104	105
106	107
108	109
110	111
116	117
118	119
130	131
132	133
134	135
136	137
138	139
148	149
150	151
156	157
158	159
160	161
166	167
168	169
170	171
172	173
176	177
180	181
184	185
188	189
190	191
192	193
