# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	74
0	1
2	3
4	5
8	9
10	11
14	15
16	17
18	19
20	21
24	25
26	27
28	29
30	31
32	33
34	35
36	37
38	39
40	41
44	45
54	55
58	59
60	61
62	63
64	65
66	67
70	71
74	75
76	77
82	83
84	85
86	87
90	91
92	93
94	95
96	97
100	101
102	103
104	105
106	107
110	111
114	115
116	117
118	119
120	121
126	127
128	129
130	131
132	133
136	137
138	139
140	141
142	143
144	145
146	147
148	149
152	153
154	155
158	159
160	161
162	163
164	165
166	167
168	169
170	171
174	175
176	177
178	179
184	185
186	187
188	189
190	191
192	193
196	197
198	199
