# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	64
0	1
2	3
4	5
6	7
8	9
10	11
12	13
14	15
16	17
18	19
20	21
22	23
24	25
26	27
30	31
32	33
48	49
54	55
58	59
64	65
68	69
70	71
72	73
74	75
76	77
80	81
82	83
86	87
92	93
94	95
102	103
104	105
106	107
110	111
112	113
114	115
118	119
122	123
124	125
126	127
128	129
130	131
132	133
134	135
140	141
142	143
148	149
152	153
154	155
156	157
160	161
162	163
166	167
168	169
170	171
172	173
174	175
176	177
180	181
182	183
190	191
192	193
194	195
198	199
