# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	63
0	1
4	5
8	9
16	17
22	23
28	29
30	31
38	39
40	41
42	43
44	45
46	47
48	49
52	53
54	55
56	57
58	59
60	61
62	63
70	71
72	73
76	77
78	79
80	81
82	83
84	85
86	87
88	89
90	91
92	93
94	95
98	99
100	101
102	103
104	105
110	111
112	113
114	115
120	121
130	131
134	135
136	137
138	139
140	141
144	145
146	147
156	157
158	159
162	163
164	165
168	169
172	173
174	175
176	177
178	179
180	181
182	183
184	185
186	187
188	189
194	195
196	197
198	199
