mode	replicate_index	status	elapsed_seconds	error
selected	0	completed	42.693033748000005	
selected	1	completed	44.064640822000015	
selected	2	completed	43.830961114000004	
selected	3	completed	46.474205166000004	
selected	4	completed	44.86473350599999	
selected	5	completed	46.032564456	
selected	6	completed	45.363944664	
selected	7	completed	45.08672359399999	
selected	8	completed	40.96232132	
selected	9	completed	44.457573585999995	
selected	10	completed	43.547365299999996	
selected	11	completed	49.584834228999995	
selected	12	completed	43.56752569700001	
selected	13	completed	46.328891387	
selected	14	completed	47.54534775900001	
selected	15	completed	44.85548851799999	
selected	16	completed	44.786152039	
selected	17	completed	42.34121782300002	
selected	18	completed	41.697050641999994	
selected	19	completed	49.230049864999984	
selected	20	completed	45.48516459700002	
selected	21	completed	43.276640128	
selected	22	completed	44.77902923299999	
selected	23	completed	43.61103058400002	
selected	24	completed	42.942896536000006	
selected	25	completed	45.845861549000006	
selected	26	completed	44.06225359200002	
selected	27	completed	43.45958002399996	
selected	28	completed	43.94096073799997	
selected	29	completed	42.19645837599998	
selected	30	completed	42.362717766	
selected	31	completed	43.13596399499997	
selected	32	completed	44.689255978000006	
selected	33	completed	44.489910216	
selected	34	completed	42.315242678000004	
selected	35	completed	41.303463787000055	
selected	36	completed	46.02849038300002	
selected	37	completed	43.703074507	
selected	38	completed	45.598011423	
selected	39	completed	42.22259838299999	
selected	40	completed	44.76877656300002	
selected	41	completed	44.17223231000003	
selected	42	completed	44.38222909799998	
selected	43	completed	43.01744291	
selected	44	completed	44.065453511000044	
selected	45	completed	44.20352233199998	
selected	46	completed	42.923634053	
selected	47	completed	42.64256339999997	
selected	48	completed	45.33486277199995	
selected	49	completed	43.339837207000016	
selected	50	completed	44.68722350600001	
selected	51	completed	44.18068629499999	
selected	52	completed	42.20396708299995	
selected	53	completed	42.22326536000003	
selected	54	completed	43.31797672199997	
selected	55	completed	42.96090877600005	
selected	56	completed	43.03860466599997	
selected	57	completed	43.388445085	
selected	58	completed	44.46628003799998	
selected	59	completed	46.028373295999984	
selected	60	completed	45.973404603000006	
selected	61	completed	44.71432145	
selected	62	completed	43.76439339000001	
